a,b,c,t.star,c.star
27.0909639,2.405980874,0.004610452,2048.234459,-0.189248051
41.98392834,2.545010008,0.004416336,2097.409071,21.7040292
41.77506056,2.597518577,0.004406945,2090.371559,2.312724306
55.13090017,2.797860618,0.004968576,2090.802544,-0.1696364
43.07036131,2.723626043,0.006657106,2042.439779,0.046264324
27.90024195,1.736195449,-0.001824019,2078.424928,7.229170136
45.02081107,2.691502953,0.005926656,2062.137891,0.029830229
30.82059438,2.202040205,0.002968117,2024.979745,1.382336931
18.64875085,1.528404501,-0.002497744,2076.391931,8.527440464
34.07951139,2.341427222,0.003152662,2086.308992,4.599935552
37.96830563,2.180765472,0.001026072,2048.975988,1.758762184
25.72368842,2.168143592,0.002944217,2045.114305,1.756244225
42.15754312,2.416843738,0.003218,2071.300216,2.552576831
38.49637003,2.116161746,0.000179649,2096.451795,34.17880386
25.74946648,2.217411813,0.0025407,2088.721679,8.693097569
27.98825665,1.978956275,0.000538121,2058.70209,3.000507262
44.8448036,2.91659269,0.008670123,2074.207094,-0.76197807
44.45352671,2.602883407,0.005364566,2099.179517,20.42905924
37.86363988,2.426842897,0.003820471,2090.747223,5.196055446
31.58290959,1.975595603,0.001104192,2092.982973,14.14505539
41.77506056,2.597518577,0.004406945,2090.371559,2.312724306
25.53354236,1.89736793,-0.00014361,2089.418572,12.49032335
43.24606237,2.578805627,0.004485862,2097.728321,14.65985637
33.1963061,2.457472158,0.005264282,2097.932486,12.85833406
42.74491349,2.650982314,0.005307345,2094.395969,0.962052497
48.98184534,2.588237641,0.00448075,2098.198176,31.0082156
39.79382581,2.4036793,0.002824536,2086.62483,4.032331789
53.28990434,2.849608137,0.00601548,2069.111536,-0.430006904
33.3496858,1.97691129,-0.000145179,2086.575805,8.253339576
37.80624501,2.68835168,0.00557964,2101.279888,28.52606783
37.61249093,1.931411723,0.000312569,2084.168106,9.402057705
25.58454298,1.884847741,0.000685304,2080.707943,5.867855684
42.81363788,2.509876775,0.004484264,2092.734477,4.797449431
31.03606255,2.38972496,0.003722897,2087.883722,4.052282046
39.95671646,2.593782408,0.00564143,2097.217286,6.448501234
39.05240963,2.307371466,0.002598745,2033.788844,1.458973847
40.80279151,2.222010373,0.000915902,2087.576892,6.748069639
52.7356722,2.841994501,0.007391385,2100.99432,-5.406238649
40.52421174,2.284969118,0.002311752,2097.668668,32.33341966
31.95163634,2.045859052,0.001161482,2020.576997,1.193849058
27.51685296,2.049995591,0.001442746,2080.682258,6.556683932
